study.code,n.shifts,best.n.shifts,mean.clade.lambda,var.clade.lambda,lambda.lower.se,lambda.upper.se,mean.clade.mu,var.clade.mu,mu.lower.se,mu.upper.se,net.diver,tree.min.age,tree.max.age,gamma.stat,ntips,n.clade,prop.samp,study.id,taxon.names,rank,kingdom,orig.ntips,binary,ultrametric,usable,study.ref,gamma.corr
TE2016.39.tr.cr.pr,1,1,0.093114403,0.002165045,5.43E-05,1.86E-01,0.093840023,0.003095943,0,0.205122421,-0.00072562,0.143905547,92.5838523,2.473430087,15,16,0.94,Testo&Sunduel2016,Salviniaceae,family,Viridiplantae,15,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.396065793
TE2016.40.tr.cr.pr,1,1,0.029981011,0.000147152,5.72E-03,5.42E-02,0.016076389,0.000214637,0,0.045377379,0.013904622,9.903158554,135.708859,-1.505552179,10,30,0.33,Testo&Sunduel2016,Schizaeaceae,family,Viridiplantae,10,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",-0.307319552
TE2016.41.tr.cr.pr,3,2,0.099122309,0.000292049,6.49E-02,1.33E-01,0.039990725,0.000478314,0,0.083731507,0.059131584,0.153987858,141.8568493,1.108435373,99,230,0.43,Testo&Sunduel2016,Tectariaceae,family,Viridiplantae,99,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.064977632
TE2016.42.tr.cr.pr,7,1,0.500556226,0.010155938,2.99E-01,7.02E-01,0.423441058,0.014212348,0.185009953,0.661872163,0.077115168,0.010499014,103.7372295,3.969089049,183,950,0.19,Testo&Sunduel2016,Thelypteridaceae,family,Viridiplantae,183,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",0.170329914
TE2016.43.tr.cr.pr,1,1,0.085608042,0.000886447,2.61E-02,1.45E-01,0.047361699,0.001503511,0,0.124911967,0.038246342,0.846316504,68.39802426,-0.529945753,20,35,0.57,Testo&Sunduel2016,Woodsiaceae,family,Viridiplantae,20,TRUE,TRUE,1,"Weston Testo, Michael Sundue, A 4000-species dataset provides new insight into the evolution of ferns, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 200-211, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.09.003.",-0.072116483
UC2015.tr,2,2,0.90884,0.14677,1.43E-01,1.68E+00,0.7171,0.18735,0,1.582778924,0.19174,0.117865738,30.82636107,2.3346331,49,528,0.093,UribeConvers&Tank2015,Rhinantheae,tribe,Viridiplantae,49,TRUE,TRUE,1,"Uribe-Convers S, Tank DC (2015) Shifts in diversification rates linked to biogeographic movement into new areas: an example of a recent radiation in the Andes. American Journal of Botany 102(11): 1854-1869. https://doi.org/10.3732/ajb.1500229",0.196611575
V2016.tr.pr,1,1,0.14013,0.00172,5.72E-02,2.23E-01,0.0616,0.00314,0,0.173671406,0.07853,1.800284047,21.62572528,-1.613241973,25,25,1,Vuatazetal2016,Rhithrogena,genus,Metazoa,38,TRUE,TRUE,1,"Vuataz L, Rutschmann S, Monaghan MT, Sartori M (2016) Molecular phylogeny and timing of diversification in Alpine Rhithrogena (Ephemeroptera: Heptageniidae). BMC Evolutionary Biology 16: 194. https://doi.org/10.1186/s12862-016-0758-1",-0.194211511
VA2017b.pr,1,1,0.20726,0.0022,1.13E-01,3.01E-01,0.06232,0.00312,0,0.17403392,0.14494,3.707402965,40.76426601,-8.2783953,115,2500,0.046,Vasconcelosetal2017,Myrteae,tribe,Viridiplantae,NA,TRUE,TRUE,1,"Thais N.C. Vasconcelos, Carol E.B. Proença, Berhaman Ahmad, Daniel S. Aguilar, Reinaldo Aguilar, Bruno S. Amorim, Keron Campbell, Itayguara R. Costa, Plauto S. De-Carvalho, Jair E.Q. Faria, Augusto Giaretta, Pepijn W. Kooij, Duane F. Lima, Fiorella F. Mazine, Brigido Peguero, Gerhard Prenner, Matheus F. Santos, Julia Soewarto, Astrid Wingler, Eve J. Lucas, Myrteae phylogeny, calibration, biogeography and diversification patterns: Increased understanding in the most species rich tribe of Myrtaceae, In Molecular Phylogenetics and Evolution, Volume 109, 2017, Pages 113-137, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2017.01.002.
",-0.449620714
VX2017.pr,1,1,0.279,0.00533,1.33E-01,4.25E-01,0.23946,0.00609,0.083383096,0.395536904,0.03954,1.540094559,141.617046,0.616229019,22,1500,0.015,Vauxetal2017,Buccinidae,family,Metazoa,29,TRUE,TRUE,1,"Felix Vaux, Simon F.K. Hills, Bruce A. Marshall, Steven A. Trewick, Mary Morgan-Richards, A phylogeny of Southern Hemisphere whelks (Gastropoda: Buccinulidae) and concordance with the fossil record, Molecular Phylogenetics and Evolution, Volume 114, September 2017, Pages 367-381, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2017.06.018.",0.079554824
W2013.pr,2,1,0.16669,0.00095,1.05E-01,2.28E-01,0.04568,0.00161,0,0.125929611,0.12101,1.296113361,28.31686554,-2.143920335,48,60,0.8,Wanetal2013,Vitis,genus,Viridiplantae,52,TRUE,TRUE,1,"Wan Y, Schwaninger HR, Baldo AM, Labate JA, Zhong G, Simon CJ (2013) A phylogenetic analysis of the grape genus (Vitis L.) reveals broad reticulation and concurrent diversification during neogene and quaternary climate change. BMC Evolutionary Biology 13: 141. https://doi.org/10.1186/1471-2148-13-141",-0.182502619
WS2017.01.tr.pr,1,1,0.05054343,1.73E-05,4.22E-02,5.89E-02,0.008035056,3.95E-05,0,0.020604861,0.042508374,0.002290829,117.2985515,-6.620052886,563,1033,0.545,Weller&Svensson2017,Anisoptera,suborder,Metazoa,613,TRUE,TRUE,1,"Waller, J. T. and Svensson, E. I. (2017), Body size evolution in an old insect order: No evidence for Cope's Rule in spite of fitness benefits of large size. Evolution, 71: 2178-2193. doi:10.1111/evo.13302",-0.161368737
WS2017.02.tr.pr,42,3,0.058095315,1.29E-05,5.09E-02,6.53E-02,0.008647245,2.82E-05,0,0.019267979,0.04944807,0.04042101,97.9301042,-4.000116372,759,931,0.815,Weller&Svensson2017,Zygoptera,suborder,Metazoa,809,TRUE,TRUE,1,"Waller, J. T. and Svensson, E. I. (2017), Body size evolution in an old insect order: No evidence for Cope's Rule in spite of fitness benefits of large size. Evolution, 71: 2178-2193. doi:10.1111/evo.13302",-0.083939052
